"Participant ID","Event Name","The interpreter's role is to facilitate communication between the parties to a conversation","The interpreter is responsible for determining whether a consumer understands what the provider says","The interpreter must consider grammar, syntax and register when interpreting","If a provider asks the interpreter to simply summarize what is said, s/he should comply","If a consumer or provider asks the interpreter to leave something out, s/he should comply","The preferred method for interpreting for healthcare and human services is 'simultaneous interpretation'","'Interpretation' and 'translation' are interchangeable terms that involve the same skills","The interpreter must always remain neutral, i.e. not act as an advocate, during the interpretation","The interpreter can use body language and positioning to support maintaining neutrality","The interpreter should refrain from casual conversation/emotional engagement with the consumer","It is never appropriate for an interpreter to interrupt the interpretation","If the interpreter is unsure of the meaning of a word/phrase, s/he should guess and keep it moving","The interpreter may use electronic or hard copy dictionaries as much as needed during the interpretation","The interpreter should request information about the nature of the consumer's appointment beforehand","It is never appropriate for the interpreter to inquire about cultural beliefs during the interpretation","The most important relationship (affect) in an interpretation is between consumer and provider","Using a trained interpreter can both improve medical outcomes and increase provider's empathy","Promoting authentic communication, by the act of interpreting, may increase the interpreter's empathy","Interpreters need to maintain professional boundaries and practice self-care to avoid burn-out","The 'interpreter's code of ethics' includes accuracy, completeness, confidentiality and impartiality ",Complete?,"I have had formal training interpreting prior to this training","I have interpreted for family/friends","If yes, how frequently?","I have interpreted as a volunteer for community/healthcare organizations","If yes, how frequently?","English is my first language","The language(s) other than English in which I am fluent is (are)","I learned to speak it (them) (choice=school)","I learned to speak it (them) (choice=at home)","I learned to speak it (them) (choice=from my parents)","I learned to speak it (them) (choice=other)","please specify","at what age?","I read and write the following language(s) other than English at a 9th grade or higher level","I have lived/worked/studied in a country other than the US","If yes, what country(ies)",Complete?,"The presentation held my interest","The content, style and pace of this presentation was appropriate","There was ample time to practice new skills","Example handouts, and case studies were relevant and easy to understand","This training increased my understanding of the interpreter's role on the healthcare team","My ability to facilitate communication between providers and consumers is greater as a result of this training","My confidence in facilitating communication between providers and consumers is greater as a results of this training","I still have questions about (please list)","I would like more information about (please list)","Additional comments",Complete?,"State at least 4 things you can do to 'set the stage' for interpreting to begin","What 2 actions must you take when the consumer asks you to not tell the provider something","Name 3 techniques you can use when you have a general idea of the meaning of something that has been said to you, but you are not completely sure","What do you do when you do not like the consumer or the provider?","List 4 ways you can manage the flow of communication during the interpretation","What 2 steps should you take when the consumer and provider are misscommunicating or don't understand each other","Describe the role of an interpreter. What does he/she do?","Give 3 situations in which you should interrupt the interpretation and provide your own suggestions. How often should you interrupt?","Name at least 4 of the skills that a person needs to be able to work as an interpreter","State 4 reasons why a code of ethics for interpreters is necessary","Which relationship in the interpreted interview is the MOST important","During an interpretation session, you should stand (or sit)","Which type of interpretation is recommended for healthcare and human services","Other things being equal, the best interpreter is most likely to be","During the medical interview, an interpreter should be expected to","A well-trained and competent interpreter","If a consumer doesn't understand what is said to him/her","Which one of these statements is true?","Knowledge of technical vocabulary in both working languages us the single most important element for interpreters","Interpreters are instruments of communication, but not participants in the task to be done by the worker (doctor, nurse, social worker, etc.)","Interpreters should give word-for-word renditions of what is said to ensure accuracy and completeness","Interpreters should intervene as little as possible in the exchange between the consumer and the provider","Most individuals who speak two languages have the skills to be good interpreters","Developing endurance enhances an interpreter's performance","Use of hand gestures can improve the flow of interpretation",Complete?,"My 'other' language is","This was my first experience in interpreting","I had interpreter training prior to this class/practicum","I had opportunities to practice after the training with fellow students","I had opportunities to practice after the training with my professor","other (whom?)",,"I had opportunities to interpret in the clinical setting","I estimate that between the class and testing, I practiced","How much?","In addition the practicing interpretation, I also (choice=Worked on medical terms in my other language)","In addition the practicing interpretation, I also (choice=Worked on my general vocabulary in my other language)","In addition the practicing interpretation, I also (choice=Engaged in other skill building activities)",what?,"The most valuable part of this training has been","I would add the following to the training","confident about interpreting","empathy for LEP patients","empathy for English-only providers","Inclined to advocate for patients","Inclined to work for system change","I would recommend this experience to fellow students","I would be willing to participate as a coach in future trainings",Complete?
1,"Documents pre training","Strongly Agree","Strongly Agree","Strongly Agree",Disagree,"Strongly Disagree","Don't Know","Strongly Disagree","Strongly Agree","Don't Know","Don't Know","Don't Know","Strongly Disagree","Strongly Agree","Strongly Agree",Disagree,"Don't Know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Complete,No,Yes,ocassionally,Yes,"1 time/week for 4 years",No,Vietnamese,Checked,Unchecked,Checked,Unchecked,,1,Vietnamese,Yes,Vietnam,Complete,,,,,,,,,,,,"introduction  set the agenda and role",,paraphrase,"be impartial",,"intervene  try again","make sure consumers understand providers and vice-versa",,,,"the consumer and the provider","midway between them",simultaneous,"one who is neither a provider nor a relative but who is trained to interpret","advocate for both","all above are correct","the interpreter is primarily responsible for determining understanding","interpretation involves deciding which language issues, cultural beliefs and consumer needs are important for the consumer and explaining them to the provider",Agree,"Strongly disagree",Agree,Agree,Disagree,"Strongly agree",Agree,Complete,,,,,,,,,,,,,,,,,,,,,,,,
1,"Documents post training",Disagree,Disagree,"Strongly Agree",Disagree,Disagree,"Strongly Agree",Agree,Agree,Agree,Disagree,"Strongly Disagree","Strongly Agree",Disagree,Disagree,Disagree,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,"Strongly Agree",Complete,,,,,,,,,,,,,,,,,,"Strongly Agree",Agree,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",,,,Complete,"introduction  confidentiality  interpret everything  hand gestures","tell the consumer that you have to interpret everything  explain to provider","look it up  tell the provider to say again","still have to do your jobs","set the stage  follow interpreters code of ethic","step back and ask for clarification","interpret everything","cultural difference  when necessary","be impartial  communicating","better healthcare outcome","the consumer and the provider","midway between them",simultaneous,"one who is neither a provider nor a relative but who is trained to interpret","advocate for both","all above are correct","the provider must reword the statement(s)","translation is changing written communication from one language to another language","Strongly agree","Strongly agree","Strongly agree","Strongly agree",Disagree,Agree,Agree,Complete,,,,,,,,,,,,,,,,,,,,,,,,
1,Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spanish,Yes,No,Yes,Yes,No,,No,"10-20 hours total",,Checked,Checked,Unchecked,,"learning how to interpret effectively",,more,same,same,same,more,Yes,Yes,Complete
2,"Documents pre training","Strongly Agree","Strongly Agree","Strongly Agree",Agree,Agree,"Don't Know","Strongly Disagree",Agree,"Don't Know",Disagree,"Strongly Disagree","Strongly Disagree","Strongly Agree",Agree,"Strongly Disagree",Disagree,Agree,"Don't Know",Agree,Agree,Complete,No,Yes,"3 times per week",No,,Yes,Mandarin,Unchecked,Unchecked,Unchecked,Checked,"growing up with grandparents",2,,No,,Complete,,,,,,,,,,,,"carb preload  hydration  stretch  circulation","clarify his direction  ask for underlying motivation","google translate  ask siri  phone a friend",quit,translate,"stop them  assume interpreter role","communicated for two parties","you are interpreting public policies by Donald Trump  only when necessary","language skills  social skills",,"they are all equally important","midway between them",simultaneous,"one who is neither a provider nor a relative but who is trained to interpret","advocate for both","all above are correct","the interpreter must make an attempt to explain on his/her own","interpretation involves deciding which language issues, cultural beliefs and consumer needs are important for the consumer and explaining them to the provider",Disagree,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree",Complete,,,,,,,,,,,,,,,,,,,,,,,,
2,"Documents post training","Strongly Agree",Agree,"Strongly Agree",Disagree,Disagree,Agree,Disagree,Disagree,"Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree",Agree,Agree,"Strongly Disagree","Strongly Agree","Strongly Agree",Agree,Agree,"Strongly Agree",Complete,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Disagree,Agree,"Strongly Agree","Strongly Agree",,,"if slides had material and guidelines, it would be more useful",Complete,"state name + purpose  set the ground rules  ask about the nature of the visit  ","remind them of the rules  use some discretion in conveying information","halt the conversation to clarify what was stated   look up things  ","be professional and provide the interpreter services","look at the person being spoken to","pause the conversation and explain the potential for misunderstanding","facilitate communication through a language and cultural barrier","cultural misunderstandings  clearer way to explain something  whenever you question your understanding","language skills  empathy  professionalism  patience","to protect patient confidentiality","the consumer and the provider","midway between them",simultaneous,"one who is neither a provider nor a relative but who is trained to interpret","advocate for both","should maintain a neutral background role as much as possible","the provider must reword the statement(s)","interpretation involves deciding which language issues, cultural beliefs and consumer needs are important for the consumer and explaining them to the provider","Strongly disagree","Strongly agree",Agree,Agree,Agree,Agree,Agree,Complete,,,,,,,,,,,,,,,,,,,,,,,,
2,Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spanish,No,Yes,No,Yes,No,,No,"5-10 hours total",,Checked,Checked,Checked,,"being able to communicate in the clinical setting in spanish",,more,more,more,more,more,Yes,Yes,Complete
3,"Documents pre training",Agree,Agree,Agree,Disagree,"Strongly Disagree",Disagree,"Don't Know","Strongly Agree","Strongly Agree","Don't Know",Agree,Disagree,"Don't Know","Don't Know",Agree,Agree,Agree,Agree,"Strongly Agree",Agree,Complete,No,No,,No,,No,"hindi  marathi  french",Unchecked,Checked,Unchecked,Unchecked,,birth,french,Yes,india,Complete,,,,,,,,,,,,"explain who you are  explain your role to both patient and dr  explain you will interpret aeverything","you have to say word for word",,"be neutral",,,"interpret/facilitate communication by provider and patient",,language,"interpreters can have a lot of power","they are all equally important","midway between them",simultaneous,"one who is neither a provider nor a relative but who is trained to interpret","advocate for neither","all above are correct","the interpreter is primarily responsible for determining understanding","interpretation is repeating what is said word-for-word, and translating is repeating a general idea",Agree,Agree,"Strongly agree",Agree,Agree,Agree,Agree,Complete,,,,,,,,,,,,,,,,,,,,,,,,
3,"Documents post training","Strongly Agree",Agree,Agree,Disagree,"Strongly Disagree",Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,"Don't Know",Disagree,Disagree,Disagree,Agree,Agree,"Strongly Agree","Strongly Agree",Complete,,,,,,,,,,,,,,,,,,Agree,Agree,"Strongly Agree",Agree,"Strongly Agree",Agree,Agree,,,,Complete,"introduction  name  role of translating everything  position","remind them your role  explain that you have to tell","time out  clarify with patient/provider   ask to rephrase",nothing,"hand gestures  body language","ask to rephrase","facilitate communication/better understanding","-  not often","technical language skills  patience","interpreters have the power/ability to alter perception of the person whose language they speak","they are all equally important","midway between them",simultaneous,"one who is neither a provider nor a relative but who is trained to interpret","advocate for neither","all above are correct","the provider must reword the statement(s)","interpretation is repeating what is said word-for-word, and translating is repeating a general idea",Agree,"Strongly agree","Strongly agree",Agree,Agree,Agree,Agree,Complete,,,,,,,,,,,,,,,,,,,,,,,,
3,Evaluation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinese,Yes,No,Yes,No,No,,No,Other,3,Checked,Checked,Unchecked,,"getting closer with other interpreters of my language","information about demands of my language and opportunities to volunteer",more,more,more,more,more,Yes,Yes,Complete
4,"Documents pre training","Strongly Agree",Agree,Agree,Disagree,Disagree,"Don't Know","Strongly Disagree","Don't Know","Don't Know","Don't Know",Disagree,"Strongly Disagree","Don't Know",Disagree,Agree,Disagree,"Don't Know",Agree,Agree,Agree,Complete,No,No,,Yes,weekly,Yes,spanish,Unchecked,Unchecked,Unchecked,Checked,"through study abroad",20,,Yes,ecuador,Complete,,,,,,,,,,,,"introductions  explain my role  understand situation","inform them of my responsibilities   find out why","ask questions to verify   look up the words  summarize bad","be professional","step when needed  summarize","offer to help","facilitates communication between 2 people via oral and body language","when big words are being used when the person is not understanding  as needed","language ability  empathy  cultural awareness  knowledge of situation","sets the stage/boundaries  protects all parties  gives guidance","they are all equally important","midway between them",consecutive,"a member of the department staff who speaks the consumer's language","advocate for both","should maintain a neutral background role as much as possible","the provider must reword the statement(s)","translation is changing written communication from one language to another language","Strongly agree","Strongly agree","Strongly agree",Disagree,"Strongly disagree",Agree,"Strongly agree",Complete,,,,,,,,,,,,,,,,,,,,,,,,
